dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002861,13.890626,0.003662,0.146465,2.929306,58.586117,0.000767
0.050000,0.011726,13.890643,0.012527,0.177308,0.616858,-46.248954,0.003146
0.050000,0.026492,13.890719,0.027293,0.295319,2.360214,34.867111,0.007124
0.050000,0.047143,13.890924,0.047945,0.413043,2.354476,-0.114745,0.012714
0.050000,0.073659,13.891357,0.074464,0.530376,2.346665,-0.156224,0.019941
0.050000,0.106010,13.892146,0.106825,0.647227,2.337021,-0.192877,0.028829
0.050000,0.144164,13.893448,0.145001,0.763521,2.325885,-0.222718,0.039412
0.050000,0.188079,13.895450,0.188962,0.879207,2.313717,-0.243363,0.051722
0.050000,0.237706,13.898368,0.238675,0.994263,2.301124,-0.251864,0.065795
0.050000,0.292991,13.902451,0.294110,1.108708,2.288886,-0.244753,0.081666
0.050000,0.353871,13.907976,0.355241,1.222607,2.277987,-0.217982,0.099365
0.050000,0.420278,13.915251,0.422045,1.336089,2.269637,-0.167017,0.118916
0.050000,0.492138,13.924617,0.494513,1.449353,2.265282,-0.087082,0.140330
0.050000,0.569372,13.936445,0.572647,1.562683,2.266608,0.026512,0.163603
0.050000,0.651898,13.951134,0.656470,1.676458,2.275496,0.177756,0.188712
0.050000,0.739632,13.969115,0.746028,1.791156,2.293955,0.369174,0.215603
0.050000,0.832490,13.990848,0.841395,1.907356,2.323997,0.600846,0.244193
0.050000,0.930391,14.016819,0.942682,2.025729,2.367465,0.869357,0.274359
0.050000,1.033253,14.047535,1.050033,2.147020,2.425810,1.166903,0.305938
0.050000,1.141001,14.083528,1.163633,2.272012,2.499850,1.480798,0.338722
0.050000,1.253560,14.125341,1.283708,2.401489,2.589536,1.793717,0.372459
0.050000,1.370858,14.173525,1.410517,2.536178,2.693783,2.084954,0.406856
0.050000,1.492822,14.228631,1.544352,2.676699,2.810420,2.332729,0.441586
0.050000,1.619379,14.291193,1.685527,2.823513,2.936282,2.517255,0.476297
0.050000,1.750452,14.361723,1.834372,2.976887,3.067485,2.624051,0.510619
0.050000,1.885966,14.440691,1.991216,3.136878,3.199817,2.646637,0.544182
0.050000,2.025847,14.528516,2.156383,3.303339,3.329214,2.587933,0.576622
0.050000,2.170033,14.625553,2.330180,3.475949,3.452211,2.459958,0.607595
0.050000,2.318476,14.732083,2.512893,3.654265,3.566308,2.281934,0.636781
0.050000,2.471163,14.848307,2.704782,3.837774,3.670175,2.077345,0.663887
0.050000,2.628119,14.974345,2.906080,4.025959,3.763713,1.870762,0.688653
0.050000,2.789431,15.110231,3.116998,4.218358,3.847970,1.685127,0.710840
0.050000,2.955253,15.255918,3.337728,4.414606,3.924970,1.540008,0.730233
0.050000,3.125830,15.411279,3.568452,4.614482,3.997514,1.450885,0.746629
0.050000,3.301507,15.576109,3.809349,4.817931,4.068982,1.429354,0.759827
0.050000,3.482749,15.750121,4.060603,5.025090,4.143176,1.483885,0.769619
0.050000,3.670156,15.932948,4.322418,5.236301,4.224214,1.620758,0.775776
0.050000,3.864481,16.124133,4.595024,5.452123,4.316454,1.844789,0.778040
0.050000,4.061640,16.318187,4.871663,5.532764,1.612810,-54.072873,0.776206
0.050000,4.257071,16.509080,5.144854,5.463819,-1.378905,-59.834296,0.770450
0.050000,4.451019,16.695664,5.413980,5.382528,-1.625811,-4.938135,0.761034
0.050000,4.643923,16.877149,5.678836,5.297129,-1.707977,-1.643318,0.748189
0.050000,4.836143,17.052817,5.939236,5.207989,-1.782799,-1.496439,0.732125
0.050000,5.027945,17.222012,6.194999,5.115268,-1.854429,-1.432595,0.713042
0.050000,5.219498,17.384128,6.445946,5.018932,-1.926710,-1.445620,0.691144
0.050000,5.410866,17.538609,6.691885,4.918778,-2.003074,-1.527283,0.666644
0.050000,5.601998,17.684951,6.932608,4.814459,-2.086392,-1.666348,0.639777
0.050000,5.792728,17.822708,7.167884,4.705520,-2.178781,-1.847784,0.610802
0.050000,5.982770,17.951501,7.397456,4.591450,-2.281405,-2.052478,0.580008
0.050000,6.171723,18.071032,7.621043,4.471735,-2.394296,-2.257832,0.547711
0.050000,6.359081,18.181098,7.838339,4.345922,-2.516266,-2.439396,0.514255
0.050000,6.544249,18.281600,8.049023,4.213675,-2.644940,-2.573473,0.479999
0.050000,6.726559,18.372557,8.252764,4.074827,-2.776953,-2.640272,0.445317
0.050000,6.905304,18.454111,8.449235,3.929412,-2.908298,-2.626898,0.410575
0.050000,7.079757,18.526522,8.638118,3.777674,-3.034768,-2.529390,0.376131
0.050000,7.249202,18.590162,8.819121,3.620052,-3.152428,-2.353209,0.342313
0.050000,7.412961,18.645506,8.991978,3.457151,-3.258029,-2.112022,0.309419
0.050000,7.570407,18.693107,9.156463,3.289686,-3.349286,-1.825128,0.277705
0.050000,7.720985,18.733577,9.312385,3.118437,-3.424995,-1.514180,0.247384
0.050000,7.864216,18.767569,9.459594,2.944187,-3.484999,-1.200084,0.218623
0.050000,7.999700,18.795751,9.597978,2.767685,-3.530027,-0.900567,0.191550
0.050000,8.127115,18.818791,9.727459,2.589612,-3.561469,-0.628836,0.166252
0.050000,8.246207,18.837340,9.847987,2.410555,-3.581130,-0.393212,0.142784
0.050000,8.356787,18.852018,9.959537,2.231005,-3.591007,-0.197553,0.121174
0.050000,8.458720,18.863409,10.062104,2.051349,-3.593114,-0.042127,0.101429
0.050000,8.551914,18.872052,10.155698,1.871882,-3.589346,0.075349,0.083536
0.050000,8.636313,18.878436,10.240339,1.692812,-3.581409,0.158749,0.067475
0.050000,8.711889,18.883001,10.316053,1.514273,-3.570775,0.212671,0.053214
0.050000,8.778633,18.886138,10.382870,1.336339,-3.558679,0.241927,0.040720
0.050000,8.836548,18.888185,10.440821,1.159033,-3.546126,0.251059,0.029958
0.050000,8.885649,18.889433,10.489938,0.982337,-3.533918,0.244153,0.020893
0.050000,8.925953,18.890126,10.530248,0.806203,-3.522679,0.224783,0.013494
0.050000,8.957479,18.890461,10.561776,0.630559,-3.512884,0.195897,0.007733
0.050000,8.980245,18.890590,10.584542,0.455314,-3.504886,0.159972,0.003587
0.050000,8.994263,18.890622,10.598560,0.280368,-3.498935,0.119020,0.001041
0.050000,8.999543,18.890625,10.603841,0.105608,-3.495200,0.074694,0.000083
0.050000,9.000000,18.890625,10.604297,0.009130,-1.929542,31.313164,6.283185
0.050000,9.000000,18.890625,10.604297,0.000000,-0.182609,34.938657,6.283185
