dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004227,12.109377,0.003662,0.146465,2.929306,58.586117,0.000767
0.050000,0.017331,12.109402,0.016766,0.262088,2.312446,-12.337202,0.003146
0.050000,0.039181,12.109514,0.038616,0.437007,3.498390,23.718891,0.007124
0.050000,0.069790,12.109818,0.069227,0.612213,3.504118,0.114557,0.012714
0.050000,0.109175,12.110461,0.108617,0.787809,3.511916,0.155956,0.019941
0.050000,0.157355,12.111636,0.156812,0.963886,3.521541,0.192509,0.028829
0.050000,0.214348,12.113581,0.213838,1.140519,3.532655,0.222270,0.039412
0.050000,0.280168,12.116582,0.279726,1.317758,3.544794,0.242791,0.051722
0.050000,0.354820,12.120973,0.354507,1.495626,3.557354,0.251192,0.065795
0.050000,0.438298,12.127138,0.438212,1.674104,3.569552,0.243964,0.081666
0.050000,0.530575,12.135512,0.530868,1.853124,3.580405,0.217064,0.099365
0.050000,0.631598,12.146581,0.632496,2.032559,3.588705,0.165993,0.118916
0.050000,0.741281,12.160877,0.743107,2.212209,3.593003,0.085956,0.140330
0.050000,0.859492,12.178980,0.862696,2.391790,3.591618,-0.027702,0.163603
0.050000,0.986049,12.201507,0.991242,2.570924,3.582669,-0.178969,0.188712
0.050000,1.120707,12.229106,1.128699,2.749131,3.564152,-0.370342,0.215603
0.050000,1.263149,12.262443,1.274991,2.925834,3.534059,-0.601873,0.244193
0.050000,1.412985,12.302189,1.430009,3.100362,3.490552,-0.870139,0.274359
0.050000,1.569744,12.348998,1.593607,3.271971,3.432186,-1.167322,0.305938
0.050000,1.732878,12.403489,1.765601,3.439879,3.358149,-1.480727,0.338722
0.050000,1.901769,12.466222,1.945766,3.603303,3.268496,-1.793056,0.372459
0.050000,2.075741,12.537680,2.133842,3.761519,3.164314,-2.083644,0.406856
0.050000,2.254082,12.618247,2.329538,3.913908,3.047777,-2.330753,0.441586
0.050000,2.436066,12.708198,2.532538,4.060010,2.922043,-2.514677,0.476297
0.050000,2.620980,12.807685,2.742516,4.199560,2.790993,-2.620998,0.510619
0.050000,2.808152,12.916740,2.959141,4.332501,2.658828,-2.643292,0.544182
0.050000,2.996977,13.035278,3.182090,4.458981,2.529602,-2.584514,0.576622
0.050000,3.186939,13.163106,3.411056,4.579320,2.406768,-2.456687,0.607595
0.050000,3.377626,13.299933,3.645754,4.693960,2.292818,-2.279011,0.636781
0.050000,3.568739,13.445390,3.885925,4.803414,2.189071,-2.074930,0.663887
0.050000,3.760099,13.599036,4.131335,4.908195,2.095623,-1.868961,0.688653
0.050000,3.951644,13.760374,4.381773,5.008766,2.011423,-1.684007,0.710840
0.050000,4.143425,13.928854,4.637048,5.105488,1.934443,-1.539599,0.730233
0.050000,4.335599,14.103874,4.896977,5.198583,1.861882,-1.451206,0.746629
0.050000,4.528426,14.284782,5.161382,5.288101,1.790361,-1.430435,0.759827
0.050000,4.722252,14.470869,5.430077,5.373904,1.716071,-1.485793,0.769619
0.050000,4.917512,14.661353,5.702859,5.455649,1.634890,-1.623621,0.775776
0.050000,5.114713,14.855365,5.979498,5.532771,1.542448,-1.848832,0.778040
0.050000,5.309543,15.047129,6.252870,5.467443,-1.306563,-56.980229,0.776206
0.050000,5.497637,15.230860,6.515808,5.258756,-4.173741,-57.343556,0.770450
0.050000,5.679495,15.405819,6.768162,5.047092,-4.233274,-1.190670,0.761034
0.050000,5.855730,15.571631,7.010139,4.839529,-4.151257,1.640343,0.748189
0.050000,6.026822,15.728002,7.241924,4.635703,-4.076535,1.494438,0.732125
0.050000,6.193127,15.874718,7.463697,4.435454,-4.004964,1.431430,0.713042
0.050000,6.354900,16.011644,7.675638,4.238819,-3.932703,1.445220,0.691144
0.050000,6.512305,16.138722,7.877938,4.046003,-3.856322,1.527614,0.666644
0.050000,6.665434,16.255981,8.070806,3.857356,-3.772952,1.667394,0.639777
0.050000,6.814319,16.363529,8.254472,3.673332,-3.680477,1.849513,0.610802
0.050000,6.958949,16.461560,8.429195,3.494445,-3.577735,2.054832,0.580008
0.050000,7.099281,16.550346,8.595255,3.321210,-3.464700,2.260707,0.547711
0.050000,7.235253,16.630235,8.752959,3.154082,-3.342568,2.442638,0.514255
0.050000,7.366792,16.701640,8.902629,2.993395,-3.213724,2.576885,0.479999
0.050000,7.493822,16.765025,9.044595,2.839318,-3.081542,2.643634,0.445317
0.050000,7.616267,16.820898,9.179186,2.691816,-2.950042,2.629992,0.410575
0.050000,7.734054,16.869794,9.306718,2.550644,-2.823441,2.532025,0.376131
0.050000,7.847109,16.912259,9.427486,2.415360,-2.705678,2.355251,0.342313
0.050000,7.955362,16.948847,9.541754,2.285360,-2.600008,2.113407,0.309419
0.050000,8.058736,16.980102,9.649750,2.159924,-2.508716,1.825852,0.277705
0.050000,8.157157,17.006555,9.751664,2.038274,-2.433000,1.514310,0.247384
0.050000,8.250544,17.028718,9.847645,1.919623,-2.373014,1.199713,0.218623
0.050000,8.338816,17.047079,9.937806,1.803222,-2.328024,0.899817,0.191550
0.050000,8.421888,17.062101,10.022225,1.688391,-2.296632,0.627828,0.166252
0.050000,8.499677,17.074216,10.100952,1.574539,-2.277029,0.392057,0.142784
0.050000,8.572101,17.083829,10.174011,1.461178,-2.267212,0.196343,0.121174
0.050000,8.639080,17.091314,10.241407,1.347920,-2.265166,0.040932,0.101429
0.050000,8.700540,17.097013,10.303131,1.234471,-2.268990,-0.076485,0.083536
0.050000,8.756411,17.101239,10.359162,1.120622,-2.276979,-0.159779,0.067475
0.050000,8.806632,17.104273,10.409474,1.006239,-2.287659,-0.213602,0.053214
0.050000,8.851145,17.106364,10.454036,0.891249,-2.299795,-0.242732,0.040720
0.050000,8.889903,17.107734,10.492818,0.775630,-2.312382,-0.251740,0.029958
0.050000,8.922862,17.108572,10.525788,0.659399,-2.324619,-0.244736,0.020893
0.050000,8.949988,17.109038,10.552918,0.542605,-2.335882,-0.225245,0.013494
0.050000,8.971253,17.109264,10.574184,0.425320,-2.345695,-0.196269,0.007733
0.050000,8.986634,17.109351,10.589566,0.307635,-2.353708,-0.160255,0.003587
0.050000,8.996117,17.109373,10.599048,0.189651,-2.359669,-0.119216,0.001041
0.050000,8.999691,17.109375,10.602622,0.071481,-2.363409,-0.074816,0.000083
0.050000,9.000000,17.109375,10.602931,0.006181,-1.305995,21.148292,6.283185
0.050000,9.000000,17.109375,10.602931,0.000000,-0.123622,23.647451,6.283185
